Code;Name;Category;FullDescription
253;Миллион лошадиных сил;;МЛН ЛС
838;Миллион пар;;МЛН ПАР
424;Миллион пассажиро-километров;;МЛН ПАСС.КМ
970;Миллион пассажиро-место-миль;;МЛН ПАСС. МЕСТ. МИЛЬ
968;Миллион пассажиро-миль;;МЛН ПАСС. МИЛЬ
129;Миллион полулитров;;МЛН ПОЛ Л
385;Миллион рублей;;МЛН РУБ
898;Миллион семей;;МЛН СЕМЕЙ
171;Миллион тонн;;МЛН Т
550;Миллион тонн в год;;МЛН Т/ГОД
982;Миллион тонн кормовых единиц;;МЛН Т КОРМ ЕД
176;Миллион тонн условного топлива;;МЛН Т УСЛ ТОПЛ
969;Миллион тоннаже-миль;;МЛН ТОННАЖ. МИЛЬ
451;Миллион тонно-километров;;МЛН Т.КМ
967;Миллион тонно-миль;;МЛН Т. МИЛЬ
779;Миллион упаковок;;МЛН УПАК
883;Миллион условных банок;;МЛН УСЛ БАНК
878;Миллион условных единиц;;МЛН УСЛ ЕД
064;Миллион условных квадратных метров;;МЛН УСЛ М2
895;Миллион условных кирпичей;;МЛН УСЛ КИРП
886;Миллион условных кусков;;МЛН УСЛ КУС
988;Миллион условных плиток;;МЛН УСЛ ПЛИТ
794;Миллион человек;;МЛН ЧЕЛ
799;Миллион штук;;МЛН ШТ
808;Миллион экземпляров;;МЛН ЭКЗ
353;Миллисекунда;;МЛС
560;Минимальная заработная плата;;МИН ЗАРАБОТН ПЛАТ
355;Минута;;МИН
047;Морская миля (1852 м);;МИЛЬ
704;Набор;;НАБОР
360;Неделя;;НЕД
908;Номер;;НОМ
289;Ньютон;;Н
331;Оборот в минуту;;ОБ/МИН
330;Оборот в секунду;;ОБ/С
274;Ом;;ОМ
715;Пара (2 шт.);;ПАР
547;Пара в смену;;ПАР/СМЕН
294;Паскаль;;ПА
414;Пассажиро-километр;;ПАСС.КМ
991;Пассажиро-миля;;ПАСС МИЛЯ
990;Пассажиров в час;;ПАСС/Ч
427;Пассажиропоток;;ПАСС. ПОТОК
421;Пассажирское место (пассажирских мест);;ПАСС МЕСТ
999;Плотность вещества;;Г/СМ3
121;Плотный кубический метр;;ПЛОТН МЗ
018;Погонный метр;;ПОГ М
365;Полугодие;;ПОЛГОД
906;Посадочное место;;ПОСАД МЕСТ
545;Посещение в смену;;ПОСЕЩ/СМЕН
734;Посылка;;ПОСЫЛ
963;Приведенный час;;ПРИВЕД. Ч
746;Промилле (О,1 процента);;ПРОМИЛЛЕ
744;Процент;;ПРОЦ
904;Рабочее место;;РАБ МЕСТ
383;Рубль;;РУБ
736;Рулон;;РУЛ
964;Самолето-километр;;САМОЛЕТ. КМ
173;Сантиграмм;;СГ
004;Сантиметр;;СМ
339;Сантиметр водяного столба;;СМ ВОД СТ
354;Секунда;;C
840;Секция;;СЕКЦ
896;Семья;;СЕМЕЙ
924;Символ;;СИМВОЛ
296;Сименс;;СИ
923;Слово;;СЛОВО
917;Смена;;СМЕН
762;Станция;;СТАНЦ
626;Сто листов;;100 ЛИСТ
781;Сто упаковок;;100 УПАК
797;Сто штук;;100 ШТ
683;Сто ящиков;;100 ЯЩ
975;Суго-сутки;;СУГО.СУТ
983;Судо-сутки;;СУД.СУТ
359;Сутки сут;;"СУТ; ДН"
313;Тесла;;ТЛ
301;Техническая атмосфера (98066,5 Па);;АТТ
913;Том книжного фонда;;ТОМ КНИЖН ФОНД
847;Тонна 90 %-го сухого вещества;;Т 90 ПРОЦ СУХ ВЕЩ
536;Тонна в смену;;Т/СМЕН
535;Тонна в сутки;;Т/СУТ
534;Тонна в час;;Т/Ч
533;Тонна пара в час;;Т ПAР/Ч
552;Тонна переработки в сутки;;Т ПЕРЕРАБ/СУТ
514;Тонна тяги;;Т.ТЯГИ
172;Тонна условного топлива;;Т УСЛ ТОПЛ
168;"Тонна; метрическая тонна (1000 кг)";;T
449;Тонно-километр;;Т.КМ
512;Тонно-номер;;Т.НОМ
516;Тонно-танид;;Т.ТАНИД
387;Триллион рублей;;ТРИЛЛ РУБ
973;Тысяча автомобиле-километров;;ТЫС АВТОМОБ.КМ
962;Тысяча автомобиле-место-дней;;ТЫС АВТОМОБ. МЕСТ. ДН
960;Тысяча автомобиле-тонно-дней;;ТЫС АВТОМОБ. Т. ДН
961;Тысяча автомобиле-часов;;ТЫС АВТОМОБ. Ч
264;Тысяча ампер-часов;;ТЫС А.Ч
871;Тысяча ампул;;ТЫС АМПУЛ
869;Тысяча бутылок;;ТЫС БУТ
952;Тысяча вагоно (машино)-километров;;ТЫС ВАГ(МАШ). КМ
951;Тысяча вагоно (машино)-часов;;ТЫС ВАГ(МАШ).Ч
060;Тысяча гектаров;;ТЫС ГА
724;Тысяча гектаров порций;;ТЫС ГА ПОРЦ
234;Тысяча гигакалорий;;ТЫС ГИГАКАЛ
239;Тысяча гигакалорий в час;;ТЫС ГИГАКАЛ/Ч
985;Тысяча голов;;ТЫС ГОЛ
556;Тысяча голов в год;;ТЫС ГОЛ/ГОД
119;Тысяча декалитров;;ТЫС ДКЛ
640;Тысяча доз;;ТЫС ДОЗ
980;Тысяча долларов;;ТЫС ДОЛЛАР
900;Тысяча домохозяйств;;ТЫС ДОМХОЗ
643;Тысяча единиц;;ТЫС ЕД
165;Тысяча каратов метрических;;ТЫС КАР
054;Тысяча квадратных дециметров;;ТЫС ДМ2
058;Тысяча квадратных метров;;ТЫС М2
085;Тысяча квадратных метров жилой площади;;ТЫС М2 ЖИЛ ПЛ
082;Тысяча квадратных метров общей площади;;ТЫС М2 ОБЩ ПЛ
088;Тысяча квадратных метров учебно-лабораторных зданий;;ТЫС М2 УЧ. ЛАБ ЗДАН
910;Тысяча квартир;;ТЫС КВАРТ
250;Тысяча киловольт-ампер реактивных;;ТЫС.КВ.А Р
965;Тысяча километров;;ТЫС КМ
912;Тысяча коек;;ТЫС КОЕК
673;Тысяча комплектов;;ТЫС КОМПЛ
875;Тысяча коробок;;ТЫС КОР
986;Тысяча краско-оттисков;;ТЫС КРАСК ОТТИСК
114;Тысяча кубических метров;;ТЫС МЗ
599;Тысяча кубических метров в сутки;;ТЫС М3/СУТ
559;Тысяча кур-несушек;;ТЫС КУР. НЕСУШ
130;"Тысяча литров; 1000 литров! 103 л; 1000 л! ТЫС Л";;ТЫС Л
252;Тысяча лошадиных сил;;ТЫС ЛС
699;Тысяча мест;;ТЫС МЕСТ
953;Тысяча место-километров;;ТЫС МЕСТ.КМ
479;Тысяча наборов;;ТЫС НАБОР
709;Тысяча номеров;;ТЫС НОМ
837;Тысяча пар;;ТЫС ПАР
548;Тысяча пар в смену;;ТЫС ПАР/СМЕН
423;Тысяча пассажиро-километров;;ТЫС ПАСС.КМ
958;Тысяча пассажиро-миль;;ТЫС ПАСС. МИЛЬ
729;Тысяча пачек;;ТЫС ПАЧ
930;Тысяча пластин;;ТЫС ПЛАСТ
127;Тысяча плотных кубических метров;;ТЫС ПЛОТН МЗ
019;Тысяча погонных метров;;ТЫС ПОГ М
956;Тысяча поездо-километров;;ТЫС ПОЕЗД. КМ
955;Тысяча поездо-часов;;ТЫС. ПОЕЗД. Ч
128;Тысяча полулитров;;ТЫС ПОЛ Л
907;Тысяча посадочных мест;;ТЫС ПОСАД МЕСТ
546;Тысяча посещений в смену;;ТЫС ПОСЕЩ/СМЕН
562;Тысяча прядильных веретен;;ТЫС ПРЯД ВЕРЕТ
563;Тысяча прядильных мест;;ТЫС ПРЯД МЕСТ
558;Тысяча птицемест;;ТЫС ПТИЦЕМЕСТ
905;Тысяча рабочих мест;;ТЫС РАБ МЕСТ
384;Тысяча рублей;;ТЫС РУБ
751;Тысяча рулонов;;ТЫС РУЛ
897;Тысяча семей;;ТЫС СЕМЕЙ
630;Тысяча стандартных условных кирпичей;;ТЫС СТАНД УСЛ КИРП
761;Тысяча станов;;ТЫС СТАН
914;Тысяча томов книжного фонда;;ТЫС ТОМ КНИЖН ФОНД
169;Тысяча тонн;;ТЫС Т
538;Тысяча тонн в год;;ТЫС Т/ГОД
537;Тысяча тонн в сезон;;ТЫС Т/СЕЗ
177;Тысяча тонн единовременного хранения;;ТЫС Т ЕДИНОВР ХРАН
981;Тысяча тонн кормовых единиц;;ТЫС Т КОРМ ЕД
561;Тысяча тонн пара в час;;ТЫС Т ПАР/Ч
178;Тысяча тонн переработки;;ТЫС Т ПЕРЕРАБ
553;Тысяча тонн переработки в сутки;;ТЫС Т ПЕРЕРАБ/СУТ
175;Тысяча тонн условного топлива;;ТЫС Т УСЛ ТОПЛ
966;Тысяча тоннаже-рейсов;;ТЫС ТОННАЖ. РЕЙС
974;Тысяча тоннаже-сут;;ТЫС ТОННАЖ.СУТ
450;Тысяча тонно-километров;;ТЫС Т.КМ
957;Тысяча тонно-миль;;ТЫС Т. МИЛЬ
874;Тысяча тубов;;ТЫС ТУБ
775;Тысяча тюбиков;;ТЫС ТЮБИК
782;Тысяча упаковок;;ТЫС УПАК
882;Тысяча условных банок;;ТЫС УСЛ БАНК
543;Тысяча условных банок в смену;;ТЫС УСЛ БАНК/СМЕН
877;Тысяча условных единиц;;ТЫС УСЛ ЕД
890;Тысяча условных катушек;;ТЫС УСЛ КАТ
063;Тысяча условных квадратных метров;;ТЫС УСЛ М2
894;Тысяча условных кирпичей;;ТЫС УСЛ КИРП
124;Тысяча условных кубических метров;;ТЫС УСЛ МЗ
885;Тысяча условных кусков;;ТЫС УСЛ КУС
048;Тысяча условных метров;;ТЫС УСЛ М
892;Тысяча условных плиток;;ТЫС УСЛ ПЛИТ
776;Тысяча условных тубов;;ТЫС УСЛ ТУБ
880;Тысяча условных штук;;ТЫС УСЛ ШТ
888;Тысяча условных ящиков;;ТЫС УСЛ ЯЩ
903;Тысяча ученических мест;;ТЫС УЧЕН МЕСТ
873;Тысяча флаконов;;ТЫС ФЛАК
207;Тысяча центнеров;;ТЫС Ц
555;Тысяча центнеров переработки в сутки;;ТЫС Ц ПЕРЕРАБ/СУТ
793;Тысяча человек;;ТЫС ЧЕЛ
541;Тысяча человеко-дней;;ТЫС ЧЕЛ.ДН
542;Тысяча человеко-часов;;ТЫС ЧЕЛ.Ч
798;Тысяча штук;;ТЫС ШТ
979;Тысяча экземпляров;;ТЫС ЭКЗ
327;Узел (миля/ч);;УЗ
778;Упаковка;;УПАК
881;Условная банка;;УСЛ БАНК
876;Условная единица;;УСЛ ЕД
889;Условная катушка;;УСЛ КАТ
891;Условная плитка;;УСЛ ПЛИТ
179;Условная тонна;;УСЛ Т
925;Условная труба;;УСЛ ТРУБ
879;Условная штука;;УСЛ ШТ
062;Условный квадратный метр;;УСЛ М2
893;Условный кирпич;;УСЛ КИРП
123;Условный кубический метр;;УСЛ М3
884;Условный кусок;;УСЛ КУС
020;Условный метр;;УСЛ М
915;Условный ремонт;;УСЛ РЕМ
916;Условный ремонт в год;;УСЛ РЕМ/ГОД
887;Условный ящик;;УСЛ ЯЩ
902;Ученическое место;;УЧЕН МЕСТ
314;Фарад;;Ф
300;Физическая атмосфера (101325 Па);;АТМ
872;Флакон;;ФЛАК
041;Фут (0,3048 м);;ФУТ
206;Центнер (метрический) (100 кг);;Ц
972;Центнер кормовых единиц;;Ц КОРМ ЕД
554;Центнер переработки в сутки;;Ц ПЕРЕРАБ/СУТ
984;Центнеров с гектара;;Ц/ГА
356;Час;;Ч
735;Часть;;ЧАСТЬ
792;Человек;;ЧЕЛ
989;Человек в час;;ЧЕЛ/Ч
522;Человек на квадратный километр;;ЧЕЛ/КМ2
521;Человек на квадратный метр;;ЧЕЛ/М2
540;Человеко-день;;ЧЕЛ.ДН
539;Человеко-час;;ЧЕЛ.Ч
976;Штук в 20-футовом эквиваленте (ДФЭ);;ШТ В 20 ФУТ ЭКВИВ
796;Штука;;ШТ
745;Элемент;;ЭЛЕМ
2581;Эрланг;;ЭРЛАНГ
043;Ярд (0,9144 м);;ЯРД
810;Ячейка;;ЯЧ
812;Ящик;;ЯЩ
